                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85765,                0.76309,                      1,                 1.1555,              0.0033309,              0.0033309,              0.0033309
                      2,                0.50777,                0.81673,                      1,                 1.1064,              0.0065983,              0.0065983,              0.0065983
                      3,                0.48679,                0.77291,                      1,                 1.1348,              0.0097996,              0.0097996,              0.0097996
                      4,                 0.4496,                0.81055,                      1,                 1.1079,               0.009703,               0.009703,               0.009703
                      5,                0.40132,                0.82182,                      1,                 1.0985,               0.009604,               0.009604,               0.009604
                      6,                0.34955,                0.82036,                      1,                  1.096,               0.009505,               0.009505,               0.009505
                      7,                0.33628,                0.82945,                      1,                 1.0853,               0.009406,               0.009406,               0.009406
                      8,                0.32471,                0.84727,                      1,                 1.0727,               0.009307,               0.009307,               0.009307
                      9,                0.30636,                0.83364,                      1,                 1.0787,               0.009208,               0.009208,               0.009208
                     10,                0.28663,                   0.86,                      1,                  1.056,               0.009109,               0.009109,               0.009109
                     11,                0.27785,                0.83709,                      1,                 1.0719,                0.00901,                0.00901,                0.00901
                     12,                0.27287,                  0.858,                      1,                 1.0559,               0.008911,               0.008911,               0.008911
                     13,                0.26336,                0.87273,                      1,                 1.0447,               0.008812,               0.008812,               0.008812
                     14,                0.25301,                  0.866,                      1,                 1.0478,               0.008713,               0.008713,               0.008713
                     15,                0.24335,                0.87527,                      1,                 1.0425,               0.008614,               0.008614,               0.008614
                     16,                0.24794,                0.86782,                      1,                 1.0467,               0.008515,               0.008515,               0.008515
                     17,                0.23399,                0.86309,                      1,                 1.0513,               0.008416,               0.008416,               0.008416
                     18,                0.23563,                0.87436,                      1,                 1.0401,               0.008317,               0.008317,               0.008317
                     19,                0.22503,                0.86382,                      1,                 1.0474,               0.008218,               0.008218,               0.008218
                     20,                0.22393,                0.86964,                      1,                   1.04,               0.008119,               0.008119,               0.008119
                     21,                0.21692,                0.87891,                      1,                 1.0338,                0.00802,                0.00802,                0.00802
                     22,                0.21395,                0.87491,                      1,                 1.0395,               0.007921,               0.007921,               0.007921
                     23,                0.20493,                0.88073,                      1,                 1.0326,               0.007822,               0.007822,               0.007822
                     24,                 0.2066,                0.88836,                      1,                 1.0259,               0.007723,               0.007723,               0.007723
                     25,                0.20105,                  0.886,                      1,                 1.0266,               0.007624,               0.007624,               0.007624
                     26,                0.19733,                0.88673,                      1,                 1.0267,               0.007525,               0.007525,               0.007525
                     27,                0.19621,                0.88709,                      1,                 1.0232,               0.007426,               0.007426,               0.007426
                     28,                0.19168,                0.88273,                      1,                 1.0274,               0.007327,               0.007327,               0.007327
                     29,                0.18748,                0.88182,                      1,                  1.026,               0.007228,               0.007228,               0.007228
                     30,                0.18479,                0.88345,                      1,                 1.0237,               0.007129,               0.007129,               0.007129
                     31,                0.18063,                0.88327,                      1,                 1.0246,                0.00703,                0.00703,                0.00703
                     32,                0.18193,                0.88491,                      1,                 1.0239,               0.006931,               0.006931,               0.006931
                     33,                0.18202,                0.88345,                      1,                 1.0253,               0.006832,               0.006832,               0.006832
                     34,                0.17643,                  0.886,                      1,                 1.0229,               0.006733,               0.006733,               0.006733
                     35,                0.17669,                0.88891,                      1,                 1.0188,               0.006634,               0.006634,               0.006634
                     36,                0.16766,                  0.888,                      1,                 1.0192,               0.006535,               0.006535,               0.006535
                     37,                0.17333,                  0.892,                      1,                  1.017,               0.006436,               0.006436,               0.006436
                     38,                0.16179,                0.89545,                      1,                 1.0143,               0.006337,               0.006337,               0.006337
                     39,                 0.1644,                  0.896,                      1,                 1.0142,               0.006238,               0.006238,               0.006238
                     40,                0.16206,                0.89345,                      1,                 1.0143,               0.006139,               0.006139,               0.006139
                     41,                0.16262,                0.89291,                      1,                 1.0139,                0.00604,                0.00604,                0.00604
                     42,                 0.1594,                0.89473,                      1,                 1.0131,               0.005941,               0.005941,               0.005941
                     43,                 0.1518,                0.89691,                      1,                 1.0121,               0.005842,               0.005842,               0.005842
                     44,                0.15484,                0.89764,                      1,                 1.0116,               0.005743,               0.005743,               0.005743
                     45,                0.14941,                0.89927,                      1,                  1.011,               0.005644,               0.005644,               0.005644
                     46,                0.14573,                0.89909,                      1,                 1.0105,               0.005545,               0.005545,               0.005545
                     47,                0.14455,                0.89927,                      1,                 1.0105,               0.005446,               0.005446,               0.005446
                     48,                0.14111,                0.89909,                      1,                 1.0101,               0.005347,               0.005347,               0.005347
                     49,                0.14064,                0.89873,                      1,                 1.0097,               0.005248,               0.005248,               0.005248
                     50,                0.13916,                0.89873,                      1,                 1.0091,               0.005149,               0.005149,               0.005149
                     51,                0.13434,                0.89782,                      1,                  1.009,                0.00505,                0.00505,                0.00505
                     52,                0.12907,                0.89764,                      1,                 1.0087,               0.004951,               0.004951,               0.004951
                     53,                0.12865,                  0.898,                      1,                 1.0086,               0.004852,               0.004852,               0.004852
                     54,                0.12598,                0.89745,                      1,                 1.0085,               0.004753,               0.004753,               0.004753
                     55,                 0.1239,                  0.898,                      1,                 1.0082,               0.004654,               0.004654,               0.004654
                     56,                0.12649,                0.89927,                      1,                 1.0083,               0.004555,               0.004555,               0.004555
                     57,                0.12377,                0.89927,                      1,                 1.0081,               0.004456,               0.004456,               0.004456
                     58,                0.11778,                0.89909,                      1,                 1.0079,               0.004357,               0.004357,               0.004357
                     59,                 0.1164,                0.89909,                      1,                 1.0075,               0.004258,               0.004258,               0.004258
                     60,                0.11271,                0.89945,                      1,                 1.0073,               0.004159,               0.004159,               0.004159
                     61,                0.11402,                0.90055,                      1,                 1.0071,                0.00406,                0.00406,                0.00406
                     62,                0.11099,                0.90055,                      1,                 1.0069,               0.003961,               0.003961,               0.003961
                     63,                0.10556,                0.90036,                      1,                 1.0067,               0.003862,               0.003862,               0.003862
                     64,                0.10263,                    0.9,                      1,                 1.0066,               0.003763,               0.003763,               0.003763
                     65,                0.09818,                    0.9,                      1,                 1.0065,               0.003664,               0.003664,               0.003664
                     66,                0.09677,                0.89945,                      1,                 1.0063,               0.003565,               0.003565,               0.003565
                     67,                0.09436,                0.89927,                      1,                 1.0064,               0.003466,               0.003466,               0.003466
                     68,                0.09235,                0.89855,                      1,                 1.0065,               0.003367,               0.003367,               0.003367
                     69,                0.09389,                0.89891,                      1,                 1.0064,               0.003268,               0.003268,               0.003268
                     70,                0.08845,                0.89909,                      1,                 1.0062,               0.003169,               0.003169,               0.003169
                     71,                0.09151,                0.89964,                      1,                 1.0063,                0.00307,                0.00307,                0.00307
